group,names,scores,logfoldchanges,pvals,pvals_adj
10,SPARC,-12.292033,-1.3958385,9.995932915695753e-35,1.0130878010057644e-31
15,PLXDC2,12.281959,3.7045488,1.1322421922806104e-34,1.8777722103431978e-31
16,IGLC3,-12.274492,-1.5780776,1.2416797315977873e-34,3.775327223923072e-31
11,CORO1C,12.248574,3.4522395,1.7097561809607095e-34,2.2279344292333016e-31
14,MT-CO2,12.207727,0.8227237,2.8267604316236787e-34,3.0334465031829867e-31
16,IGLC2,-12.154088,-1.3784792,5.456753807042517e-34,1.422107995741095e-30
7,IGHG2,-12.118309,-1.280351,8.448415488201023e-34,5.137481458375042e-31
14,CEACAM5,12.0254,1.3314898,2.613200386334197e-33,2.6484785915497083e-30
17,CEACAM6,11.964812,1.0864462,5.4320094512303404e-33,2.4774037104698774e-29
14,IGHA1,-11.925913,-1.8033966,8.67285115229858e-33,8.327306503757e-30
14,A2M,-11.865814,-1.7562774,1.7816122846487037e-32,1.6250976454423152e-29
11,NOP53,11.816819,2.9317548,3.195551943489971e-32,3.886430273672503e-29
10,IGHM,-11.802968,-2.0992687,3.7678199819821704e-32,3.6177021016474073e-29
16,IGHG1,-11.759457,-1.4466338,6.313953446124359e-32,1.4398181589705834e-28
11,COL1A2,-11.754888,-1.3961394,6.664923678386046e-32,7.59926266654979e-29
15,COL3A1,-11.749245,-1.1778824,7.125317466639141e-32,1.0832263878658153e-28
14,RNASE1,11.748759,1.1074266,7.166349005080575e-32,6.225509757127854e-29
19,CD74,-11.7394905,-1.8770838,7.996695503639324e-32,3.6470929018223043e-28
13,IGHA1,-11.707376,-1.597297,1.1684004729983841e-31,1.6396253714545785e-28
11,N4BP2L2,11.6910515,2.9789836,1.4162272907287037e-31,1.519778497927279e-28
12,VIM,-11.65947,-1.0856366,2.0531804850686545e-31,2.8812439683928815e-28
10,IGHG2,-11.568577,-1.7000065,5.946052381055692e-31,5.4236916793799495e-28
19,IGLC2,-11.544946,-1.6290615,7.829080895095681e-31,2.85651845538461e-27
14,MT-CYB,11.519777,0.77190846,1.0488130170150113e-30,8.697043577002205e-28
12,CEACAM6,11.4862385,0.7398904,1.547027826345403e-30,2.0158877597156563e-27
17,ELF3,11.410853,1.2223749,3.690900697883697e-30,1.3466620286298457e-26
11,VIM,-11.370573,-0.99260294,5.8601827382888885e-30,5.939295205255788e-27
13,MT-CO3,11.006215,0.5641586,3.566739527483375e-28,4.647716371419944e-25
10,TIMP1,-10.987631,-1.2900088,4.382783087962544e-28,3.807386279700033e-25
10,SFTPB,-10.956593,-1.7148749,6.178214235947989e-28,5.123143741199962e-25
13,A2M,-10.802737,-1.4116342,3.340913926771962e-27,4.06321951774006e-24
14,MT-ND4,10.786066,0.7409426,4.005697244458837e-27,3.177214557854894e-24
10,C3,-10.757866,-1.6272018,5.4415833269258095e-27,4.316121940569893e-24
16,TFRC,10.742595,3.6662035,6.421373707519033e-27,1.3016124505141078e-23
17,IGLC2,-10.737958,-1.2733706,6.752142000153812e-27,2.0529887751467664e-23
16,COL3A1,-10.657894,-1.2954576,1.601840643969227e-26,2.922237886793061e-23
10,ZFP36,-10.623211,-0.89507395,2.3242644867013553e-26,1.7667315429538675e-23
12,IGHA1,-10.608142,-1.257004,2.7312584175106115e-26,3.321756487376406e-23
11,APOE,-10.422829,-1.2257729,1.9506393843504255e-25,1.8729218046686746e-22
10,SCGB3A1,-10.321515,-3.3255577,5.632705411347596e-25,4.110297792768568e-22
10,IGHG3,-10.289224,-1.7462425,7.880914182501144e-25,5.529673747360322e-22
17,S100A6,10.28867,0.9085546,7.926384226114694e-25,2.0657289633858622e-21
15,CEACAM6,10.233596,0.7616882,1.4021429897046857e-24,1.844468911050116e-21
11,SPARC,-10.2335,-1.4131328,1.4035330590386597e-24,1.2802326798021135e-21
15,IGHA1,-10.232679,-1.4584663,1.4154779781122417e-24,1.844468911050116e-21
13,VIM,-10.192322,-1.0341744,2.145768290392658e-24,2.4465781826020787e-21
11,COL1A1,-10.185007,-0.812792,2.3134283606071673e-24,2.0097082658360266e-21
14,MT-ATP6,10.17975,0.7062967,2.441878554264064e-24,1.787744604879829e-21
14,COL1A2,-10.179431,-1.4866531,2.4499049017154924e-24,1.787744604879829e-21
10,CEACAM5,10.16787,0.9089118,2.7587647898428125e-24,1.8640054096704603e-21
14,MT-CO1,10.161732,0.6693318,2.9380968764295255e-24,2.061526973719378e-21
11,ELF3,10.113124,0.786611,4.831870007698639e-24,4.006718388656649e-21
12,COL1A2,-10.016209,-1.1747894,1.2937140810522948e-23,1.4750766237898134e-20
14,VIM,-9.982064,-1.0868917,1.826268557880589e-23,1.2169669746133945e-20
14,CAPN13,9.979831,1.3547374,1.8678438463616206e-23,1.2169669746133945e-20
10,COL6A3,-9.899565,-1.414844,4.1808943297931195e-23,2.724001973514853e-20
10,LYZ,-9.88345,-1.3668594,4.911247425214098e-23,3.089513337178648e-20
10,ELF3,9.831352,0.6571834,8.250307604202815e-23,5.017012054115732e-20
11,IGHM,-9.81228,-2.0941548,9.969015138143474e-23,7.90716274631093e-20
14,CLDN4,9.807462,1.0246291,1.0456599517463424e-22,6.577922241278802e-20
14,SHISA3,9.75404,1.200973,1.7726963749266792e-22,1.0779766655929136e-19
16,CEACAM6,9.751543,0.85799235,1.8168492181252204e-22,3.013161844205309e-19
11,IGHG2,-9.684442,-1.739513,3.511219105857087e-22,2.668965422839618e-19
17,IGLC3,-9.59903,-1.2541914,8.070028733274762e-22,1.8402691772641435e-18
13,ELF3,9.563647,0.8165854,1.1367838908699418e-21,1.2120085775281688e-18
13,COL1A2,-9.558404,-1.2541393,1.1958644080199003e-21,1.2120085775281688e-18
19,IGLC3,-9.521008,-1.4638436,1.7150875052550993e-21,5.2147235597281294e-18
20,IGLC2,-9.400484,-1.6892294,5.431267310770782e-21,3.3027536516797125e-17
15,VIM,-9.355385,-0.997337,8.329569139810278e-21,1.013042198783726e-17
16,IGHA1,-9.330474,-1.6330922,1.0539876557266445e-20,1.6023247336184313e-17
17,IGHG1,-9.303055,-1.1800994,1.3646729763258985e-20,2.766192123012596e-17
13,CEACAM5,9.2802105,1.0448467,1.6914351240297103e-20,1.624044787772316e-17
12,A2M,-9.257096,-0.9931419,2.100670983727716e-20,2.254267103302631e-17
20,IGLC3,-9.256216,-1.913018,2.118048192446199e-20,9.659888293699001e-17
13,APOE,-9.254318,-1.2579565,2.1560102249311872e-20,1.9666047266709826e-17
19,IGKC,-9.240716,-1.0522316,2.4485429542557973e-20,6.381252730641216e-17
11,IL6ST,9.224549,2.2547085,2.847563276169362e-20,2.0779238738863065e-17
11,ELOVL5,9.160013,3.106348,5.1891030261051126e-20,3.6409540963552137e-17
15,A2M,-9.073126,-1.2056645,1.1565029740858422e-19,1.3186302347655013e-16
11,C3,-8.917236,-1.6528505,4.780696646819701e-19,3.2301573677011784e-16
11,COL6A3,-8.911696,-1.638402,5.025747748991005e-19,3.274454149458675e-16
11,LYZ,-8.875358,-1.5605536,6.970895487965854e-19,4.3851740133434856e-16
16,A2M,-8.799062,-1.478664,1.379646772787152e-18,1.936068928919693e-15
11,IGHG3,-8.771572,-1.8684521,1.7618923298884124e-18,1.0714067258051436e-15
20,IGKC,-8.769994,-1.2937281,1.786759872136781e-18,6.5191720694782594e-15
17,MT-CO3,8.629161,0.6500548,6.18036999375142e-18,1.1274848979600716e-14
12,SPARC,-8.583617,-1.1570975,9.193587980434021e-18,9.31770141816988e-15
12,APOE,-8.537024,-0.9545608,1.377233472192245e-17,1.3223615912212173e-14
13,MT-CO2,8.420967,0.54529834,3.733904477740655e-17,3.2436961613058466e-14
13,IGHM,-8.337409,-1.9385226,7.593580157968595e-17,6.296803764628231e-14
15,COL1A2,-8.33093,-1.1441702,8.020981894579158e-17,8.607457217812211e-14
12,IGHM,-8.290855,-1.637511,1.1243677354462235e-16,1.0255920298872728e-13
17,COL3A1,-8.257575,-1.030347,1.4866200012439542e-16,2.465491698426678e-13
12,SFTPB,-8.197389,-1.5593247,2.456654857281862e-16,2.1341311695901433e-13
12,COL1A1,-8.185449,-0.66822875,2.7129027232028744e-16,2.249612926335911e-13
20,COL3A1,-8.016863,-1.5457777,1.0848039190627112e-15,3.2983463159101735e-12
16,COL1A2,-7.952843,-1.3491614,1.8227875479087426e-15,2.3752223740356567e-12
12,IGHG3,-7.9289584,-1.673482,2.2099126997369267e-15,1.7528451035348153e-12
15,SPARC,-7.8420215,-1.2773389,4.433500903402122e-15,4.49335316559805e-12
19,ELN,7.834109,3.6513603,4.721793404976971e-15,1.0767459635874359e-11
15,IGHG2,-7.802692,-1.6553706,6.060028159145176e-15,5.818583879330813e-12
15,S100A6,7.7897024,0.552424,6.7167255250535855e-15,6.1266611876776285e-12
13,TMSB10,7.7793584,0.47853383,7.289319628722718e-15,5.7816981733386324e-12
15,COL1A1,-7.655595,-0.7354117,1.9241936406470348e-14,1.67157450411066e-11
12,S100A6,7.6471004,0.4708031,2.0556187993998133e-14,1.562527239893783e-11
13,SPARC,-7.6171165,-1.1271576,2.5940535762046592e-14,1.9718049746125665e-11
19,IGHA1,-7.5958304,-1.6193626,3.058251057635763e-14,6.19907489382769e-11
12,SCGB3A1,-7.553027,-2.6491497,4.252555208716366e-14,3.1031745869045064e-11
13,SHISA3,7.5343046,0.95380723,4.9094436660481434e-14,3.582519231988651e-11
13,SFTPB,-7.5232015,-1.5443686,5.345090565999735e-14,3.750403353674352e-11
15,IGHM,-7.463135,-1.8032168,8.448798367220843e-14,7.005974027873174e-11
